timestamp,gpu_index,utilization.gpu,memory.used,memory.total,temperature.gpu,power.draw
2026-08-18T20:23:41+00:00,0,86,10193,12282,70,160.55
2026-08-18T20:23:46+00:00,0,81,10195,12282,72,159.86
2026-08-18T20:23:51+00:00,0,86,10195,12282,70,160.69
2026-08-18T20:23:56+00:00,0,90,10195,12282,73,160.80
2026-08-18T20:24:01+00:00,0,52,5713,12282,66,130.07
2026-08-18T20:24:06+00:00,0,84,9001,12282,71,158.43
2026-08-18T20:24:11+00:00,0,82,11849,12282,70,160.26
2026-08-18T20:24:16+00:00,0,95,11849,12282,71,162.51
2026-08-18T20:24:21+00:00,0,89,11851,12282,74,161.14
2026-08-18T20:24:26+00:00,0,75,11819,12282,73,156.66
2026-08-18T20:24:31+00:00,0,88,11819,12282,70,158.54
2026-08-18T20:24:37+00:00,0,69,7529,12282,68,67.95
2026-08-18T20:24:42+00:00,0,84,10369,12282,70,158.57
2026-08-18T20:24:47+00:00,0,83,10369,12282,72,156.57
2026-08-18T20:24:52+00:00,0,87,10369,12282,72,157.65
2026-08-18T20:24:57+00:00,0,94,10369,12282,70,160.79
2026-08-18T20:25:02+00:00,0,74,10371,12282,69,159.21
2026-08-18T20:25:07+00:00,0,97,8033,12282,69,131.06
2026-08-18T20:25:12+00:00,0,81,8909,12282,73,158.14
2026-08-18T20:25:17+00:00,0,77,9587,12282,73,159.71
2026-08-18T20:25:22+00:00,0,86,11029,12282,72,161.72
2026-08-18T20:25:27+00:00,0,94,11029,12282,73,160.60
2026-08-18T20:25:32+00:00,0,77,11029,12282,72,160.42
2026-08-18T20:25:37+00:00,0,22,4199,12282,70,140.60
2026-08-18T20:25:42+00:00,0,78,9121,12282,72,155.52
2026-08-18T20:25:47+00:00,0,76,11151,12282,73,158.92
2026-08-18T20:25:52+00:00,0,82,11151,12282,70,160.85
2026-08-18T20:25:57+00:00,0,94,11151,12282,72,161.34
2026-08-18T20:26:02+00:00,0,84,11151,12282,73,161.18
2026-08-18T20:26:07+00:00,0,84,11151,12282,73,163.31
2026-08-18T20:26:13+00:00,0,83,8377,12282,69,107.39
2026-08-18T20:26:18+00:00,0,85,11585,12282,73,157.26
2026-08-18T20:26:23+00:00,0,86,11585,12282,69,160.19
2026-08-18T20:26:28+00:00,0,94,11585,12282,73,161.60
2026-08-18T20:26:33+00:00,0,96,11585,12282,73,162.43
2026-08-18T20:26:38+00:00,0,87,11585,12282,73,160.47
2026-08-18T20:26:43+00:00,0,9,7967,12282,61,114.23
2026-08-18T20:26:48+00:00,0,82,10431,12282,71,162.65
2026-08-18T20:26:53+00:00,0,89,10431,12282,73,160.04
2026-08-18T20:26:58+00:00,0,75,10431,12282,71,160.60
2026-08-18T20:27:03+00:00,0,88,10431,12282,72,158.29
2026-08-18T20:27:08+00:00,0,88,10431,12282,71,161.65
2026-08-18T20:27:13+00:00,0,95,7805,12282,66,120.91
2026-08-18T20:27:18+00:00,0,96,8285,12282,71,158.13
2026-08-18T20:27:23+00:00,0,80,9687,12282,70,155.79
2026-08-18T20:27:28+00:00,0,81,9719,12282,70,157.35
2026-08-18T20:27:33+00:00,0,84,9719,12282,71,159.38
