timestamp,device_label,model,imgsz,format,device,threads,elapsed_s,window_idx,frames,fps_window,lat_p50_ms,lat_p95_ms,temp_c,freq_mhz,throttled_flags
2026-08-25T10:37:17+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,115.331,88,30,20.917,41.285,116.685,65.0,2400.0,
2026-08-25T10:37:18+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,116.574,89,30,24.186,40.602,43.348,65.55,2400.0,
2026-08-25T10:37:19+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,117.866,90,30,23.259,40.485,41.668,63.9,2400.0,
2026-08-25T10:37:21+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,119.164,91,30,23.167,40.548,43.966,65.0,2400.0,
2026-08-25T10:37:22+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,120.425,92,30,23.818,40.78,48.845,64.45,2400.0,
2026-08-25T10:37:23+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,121.768,93,30,22.381,40.503,43.717,63.35,2400.0,
2026-08-25T10:37:25+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,123.1,94,30,22.571,40.344,42.848,64.45,2400.0,
2026-08-25T10:37:26+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,124.328,95,30,24.476,40.331,44.218,64.45,2400.0,
2026-08-25T10:37:27+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,125.728,96,30,21.457,40.477,116.446,63.9,2400.0,
2026-08-25T10:37:29+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,127.031,97,30,23.065,40.572,45.216,65.0,2400.0,
2026-08-25T10:37:30+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,128.258,98,30,24.504,40.519,42.817,65.55,2400.0,
2026-08-25T10:37:31+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,129.692,99,30,20.95,40.422,42.732,64.45,2400.0,
2026-08-25T10:37:32+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,130.932,100,30,24.239,40.407,42.243,63.9,2400.0,
2026-08-25T10:37:34+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,132.228,101,30,23.196,40.308,61.389,65.55,2400.0,
2026-08-25T10:37:35+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,133.513,102,30,23.391,40.195,43.083,63.9,2400.0,
2026-08-25T10:37:36+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,134.735,103,30,24.599,40.289,41.941,65.55,2400.0,
2026-08-25T10:37:38+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,136.12,104,30,21.694,40.521,77.117,66.65,2400.0,
2026-08-25T10:37:39+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,137.346,105,30,24.533,40.531,42.513,66.1,2400.0,
2026-08-25T10:37:40+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,138.658,106,30,22.891,40.572,51.381,66.1,2400.0,
2026-08-25T10:37:41+00:00,Raspberry Pi 5 Model B Rev 1.1,models/ncnn/yolo26n_512_ncnn_model,512,ncnn,cpu,4,140.01,107,30,22.238,40.466,59.708,66.65,2400.0,
