timestamp,gpu_index,utilization.gpu,memory.used,memory.total,temperature.gpu,power.draw
2026-08-18T21:21:34+00:00,0,82,9044,12282,70,158.08
2026-08-18T21:21:39+00:00,0,72,9044,12282,70,155.54
2026-08-18T21:21:44+00:00,0,84,9052,12282,72,158.76
2026-08-18T21:21:49+00:00,0,78,9052,12282,74,159.21
2026-08-18T21:21:54+00:00,0,83,9052,12282,73,161.13
2026-08-18T21:21:59+00:00,0,84,4488,12282,66,141.44
2026-08-18T21:22:04+00:00,0,82,7810,12282,73,158.30
2026-08-18T21:22:09+00:00,0,72,8688,12282,70,158.74
2026-08-18T21:22:14+00:00,0,84,10128,12282,73,158.19
2026-08-18T21:22:20+00:00,0,80,10130,12282,74,158.66
2026-08-18T21:22:25+00:00,0,72,10129,12282,73,151.08
2026-08-18T21:22:30+00:00,0,87,2547,12282,69,154.81
2026-08-18T21:22:35+00:00,0,86,7733,12282,70,158.54
2026-08-18T21:22:40+00:00,0,77,9761,12282,71,157.47
2026-08-18T21:22:45+00:00,0,91,9761,12282,72,160.26
2026-08-18T21:22:50+00:00,0,81,9761,12282,73,159.45
2026-08-18T21:22:55+00:00,0,81,9761,12282,71,159.49
2026-08-18T21:23:00+00:00,0,83,3085,12282,69,160.87
2026-08-18T21:23:05+00:00,0,84,8141,12282,68,157.02
2026-08-18T21:23:10+00:00,0,85,10381,12282,68,158.13
2026-08-18T21:23:15+00:00,0,90,10381,12282,72,161.10
2026-08-18T21:23:21+00:00,0,76,10381,12282,72,158.40
2026-08-18T21:23:26+00:00,0,82,10381,12282,74,160.72
2026-08-18T21:23:31+00:00,0,75,3441,12282,73,160.44
2026-08-18T21:23:36+00:00,0,78,7797,12282,70,159.42
2026-08-18T21:23:41+00:00,0,89,9307,12282,71,159.91
2026-08-18T21:23:46+00:00,0,83,9307,12282,73,159.94
2026-08-18T21:23:51+00:00,0,82,9307,12282,73,160.82
2026-08-18T21:23:56+00:00,0,84,9309,12282,74,160.63
2026-08-18T21:24:01+00:00,0,59,4485,12282,63,142.34
2026-08-18T21:24:06+00:00,0,82,7393,12282,72,158.41
2026-08-18T21:24:11+00:00,0,90,8731,12282,69,157.97
2026-08-18T21:24:16+00:00,0,84,8731,12282,73,157.50
2026-08-18T21:24:22+00:00,0,80,8731,12282,70,159.86
2026-08-18T21:24:27+00:00,0,69,8731,12282,73,158.20
2026-08-18T21:24:32+00:00,0,35,4471,12282,70,133.26
2026-08-18T21:24:37+00:00,0,84,7055,12282,70,159.37
2026-08-18T21:24:42+00:00,0,86,9537,12282,71,159.04
2026-08-18T21:24:47+00:00,0,86,9537,12282,71,155.73
2026-08-18T21:24:52+00:00,0,81,9537,12282,69,157.26
2026-08-18T21:24:57+00:00,0,77,9537,12282,70,157.60
2026-08-18T21:25:02+00:00,0,52,3447,12282,68,134.07
2026-08-18T21:25:07+00:00,0,81,9449,12282,71,158.93
2026-08-18T21:25:12+00:00,0,79,9449,12282,73,159.67
2026-08-18T21:25:17+00:00,0,84,9449,12282,70,160.37
2026-08-18T21:25:22+00:00,0,91,9449,12282,72,159.32
2026-08-18T21:25:27+00:00,0,96,9449,12282,71,161.26
2026-08-18T21:25:32+00:00,0,29,3649,12282,64,152.25
2026-08-18T21:25:37+00:00,0,89,7947,12282,72,159.22
2026-08-18T21:25:42+00:00,0,91,7947,12282,72,158.04
2026-08-18T21:25:47+00:00,0,79,9423,12282,68,157.28
2026-08-18T21:25:52+00:00,0,88,9423,12282,73,158.16
2026-08-18T21:25:58+00:00,0,85,9423,12282,73,159.77
2026-08-18T21:26:03+00:00,0,90,3867,12282,67,140.15
2026-08-18T21:26:08+00:00,0,83,6685,12282,71,158.66
2026-08-18T21:26:13+00:00,0,93,8083,12282,69,160.40
2026-08-18T21:26:18+00:00,0,87,8083,12282,71,160.18
2026-08-18T21:26:23+00:00,0,79,9051,12282,74,159.42
2026-08-18T21:26:28+00:00,0,85,9051,12282,73,161.14
2026-08-18T21:26:33+00:00,0,84,3457,12282,68,143.10
2026-08-18T21:26:38+00:00,0,87,8485,12282,72,159.28
2026-08-18T21:26:43+00:00,0,88,10597,12282,70,159.92
2026-08-18T21:26:48+00:00,0,77,10597,12282,73,156.99
2026-08-18T21:26:53+00:00,0,86,10597,12282,72,162.73
2026-08-18T21:26:58+00:00,0,85,10597,12282,73,160.29
2026-08-18T21:27:03+00:00,0,79,3443,12282,71,158.95
2026-08-18T21:27:08+00:00,0,76,7439,12282,72,156.53
